Date;Horaire;Distance;
28/09/2021;11:05:59;3.464201;
28/09/2021;11:06:00;3.468243;
28/09/2021;11:06:01;3.469539;
28/09/2021;11:06:03;3.468248;
28/09/2021;11:06:04;3.467911;
28/09/2021;11:06:06;3.468807;
28/09/2021;11:06:07;3.466853;
28/09/2021;11:06:08;3.469057;
28/09/2021;11:06:10;3.471323;
28/09/2021;11:06:11;3.467015;
28/09/2021;11:06:12;3.467699;
28/09/2021;11:06:14;3.468996;
28/09/2021;11:06:15;3.467439;
28/09/2021;11:06:16;3.47213;
28/09/2021;11:06:18;3.471152;
28/09/2021;11:06:19;3.471307;
28/09/2021;11:06:21;3.472883;
28/09/2021;11:06:22;3.468325;
28/09/2021;11:06:23;3.467327;
28/09/2021;11:06:25;3.470446;
28/09/2021;11:06:26;3.470136;
28/09/2021;11:06:27;3.472217;
28/09/2021;11:06:29;3.47113;
28/09/2021;11:06:30;3.471849;
28/09/2021;11:06:31;3.472482;
28/09/2021;11:06:33;3.472516;
28/09/2021;11:06:34;3.469263;
28/09/2021;11:06:36;3.471177;
28/09/2021;11:06:37;3.470957;
28/09/2021;11:06:38;3.471113;
28/09/2021;11:06:40;3.468635;
28/09/2021;11:06:41;3.466899;
28/09/2021;11:06:42;3.467153;
28/09/2021;11:06:44;3.466959;
28/09/2021;11:06:45;3.467394;
28/09/2021;11:06:46;3.469932;
28/09/2021;11:06:48;3.468158;
28/09/2021;11:06:49;3.468648;
28/09/2021;11:06:50;3.467988;
28/09/2021;11:06:52;3.463579;
28/09/2021;11:06:53;3.462866;
28/09/2021;11:06:55;3.463816;
28/09/2021;11:06:56;3.466239;
28/09/2021;11:06:57;3.465728;
28/09/2021;11:06:59;3.465448;
28/09/2021;11:07:00;3.466037;
28/09/2021;11:07:01;3.468016;
28/09/2021;11:07:03;3.468433;
28/09/2021;11:07:04;3.466665;
28/09/2021;11:07:05;3.464334;
28/09/2021;11:07:07;3.464116;
28/09/2021;11:07:08;3.465776;
28/09/2021;11:07:09;3.467629;
28/09/2021;11:07:11;3.468566;
28/09/2021;11:07:12;3.469105;
28/09/2021;11:07:14;3.470205;
28/09/2021;11:07:15;3.468491;
28/09/2021;11:07:16;3.469438;
28/09/2021;11:07:18;3.470887;
28/09/2021;11:07:19;3.469007;
28/09/2021;11:07:20;3.468705;
28/09/2021;11:07:22;3.470417;
28/09/2021;11:07:23;3.469612;
28/09/2021;11:07:24;3.467669;
28/09/2021;11:07:26;3.46956;
28/09/2021;11:07:27;3.467438;
28/09/2021;11:07:29;3.466333;
28/09/2021;11:07:30;3.470049;
28/09/2021;11:07:31;3.470655;
28/09/2021;11:07:33;3.46681;
28/09/2021;11:07:34;3.463868;
28/09/2021;11:07:35;3.468446;
28/09/2021;11:07:37;3.474606;
28/09/2021;11:07:38;3.473047;
28/09/2021;11:07:39;3.472361;
28/09/2021;11:07:41;3.472305;
28/09/2021;11:07:42;3.475851;
28/09/2021;11:07:44;3.47546;
28/09/2021;11:07:45;3.468769;
28/09/2021;11:07:46;3.471439;
28/09/2021;11:07:48;3.470209;
28/09/2021;11:07:49;3.46929;
28/09/2021;11:07:50;3.468953;
28/09/2021;11:07:52;3.472662;
28/09/2021;11:07:53;3.468442;
28/09/2021;11:07:55;3.46543;
28/09/2021;11:07:56;3.467141;
28/09/2021;11:07:57;3.46936;
28/09/2021;11:07:59;3.469789;
28/09/2021;11:08:00;3.473868;
28/09/2021;11:08:01;3.470496;
28/09/2021;11:08:03;3.468371;
28/09/2021;11:08:04;3.473207;
28/09/2021;11:08:05;3.470234;
28/09/2021;11:08:07;3.467095;
28/09/2021;11:08:08;3.469798;
28/09/2021;11:08:09;3.474333;
28/09/2021;11:08:11;3.471196;
28/09/2021;11:08:12;3.470559;
28/09/2021;11:08:13;3.47003;
28/09/2021;11:08:15;3.473768;
28/09/2021;11:08:16;3.470904;
28/09/2021;11:08:18;3.473561;
28/09/2021;11:08:19;3.474104;
28/09/2021;11:08:20;3.473997;
28/09/2021;11:08:22;3.472282;
28/09/2021;11:08:23;3.473404;
28/09/2021;11:08:24;3.470359;
28/09/2021;11:08:26;3.474442;
28/09/2021;11:08:27;3.474305;
28/09/2021;11:08:28;3.475746;
28/09/2021;11:08:30;3.475923;
28/09/2021;11:08:31;3.475833;
28/09/2021;11:08:32;3.472322;
28/09/2021;11:08:34;3.479449;
28/09/2021;11:08:35;3.478811;
28/09/2021;11:08:37;3.474335;
28/09/2021;11:08:38;3.474744;
28/09/2021;11:08:39;3.475335;
28/09/2021;11:08:41;3.473364;
28/09/2021;11:08:42;3.473103;
28/09/2021;11:08:43;3.476749;
28/09/2021;11:08:45;3.478506;
28/09/2021;11:08:46;3.482205;
28/09/2021;11:08:47;3.481856;
28/09/2021;11:08:49;3.482418;
28/09/2021;11:08:50;3.480972;
28/09/2021;11:08:51;3.480736;
28/09/2021;11:08:53;3.482655;
28/09/2021;11:08:54;3.47863;
28/09/2021;11:08:56;3.480992;
28/09/2021;11:08:57;3.479479;
28/09/2021;11:08:58;3.481666;
28/09/2021;11:09:00;3.480264;
28/09/2021;11:09:01;3.479688;
28/09/2021;11:09:02;3.481552;
28/09/2021;11:09:04;3.482055;
28/09/2021;11:09:05;3.481775;
28/09/2021;11:09:06;3.479166;
28/09/2021;11:09:08;3.476969;
28/09/2021;11:09:09;3.476949;
28/09/2021;11:09:11;3.475987;
28/09/2021;11:09:12;3.474438;
28/09/2021;11:09:13;3.477469;
28/09/2021;11:09:15;3.47761;
28/09/2021;11:09:16;3.478862;
28/09/2021;11:09:17;3.478496;
28/09/2021;11:09:19;3.478013;
28/09/2021;11:09:20;3.475775;
28/09/2021;11:09:21;3.474002;
28/09/2021;11:09:23;3.474274;
28/09/2021;11:09:24;3.472005;
